BO,Ban,Stage,Mod,MapLink,MapName
All maps will be played,0,Qualifiers,NM1,,
All maps will be played,0,Qualifiers,NM2,,
All maps will be played,0,Qualifiers,NM3,,
All maps will be played,0,Qualifiers,NM4,,
All maps will be played,0,Qualifiers,HD1,,
All maps will be played,0,Qualifiers,HD2,,
All maps will be played,0,Qualifiers,HR1,,
All maps will be played,0,Qualifiers,HR2,,
All maps will be played,0,Qualifiers,DT1,,
All maps will be played,0,Qualifiers,DT2,,

9,1,Round of 64,NM1,,
9,1,Round of 64,NM2,,
9,1,Round of 64,NM3,,
9,1,Round of 64,NM4,,
9,1,Round of 64,NM5,,
9,1,Round of 64,HD1,,
9,1,Round of 64,HD2,,
9,1,Round of 64,HR1,,
9,1,Round of 64,HR2,,
9,1,Round of 64,DT1,,
9,1,Round of 64,DT2,,
9,1,Round of 64,DT3,,
9,1,Round of 64,TB1,,

9,1,Round of 32,NM1,,
9,1,Round of 32,NM2,,
9,1,Round of 32,NM3,,
9,1,Round of 32,NM4,,
9,1,Round of 32,NM5,,
9,1,Round of 32,HD1,,
9,1,Round of 32,HD2,,
9,1,Round of 32,HR1,,
9,1,Round of 32,HR2,,
9,1,Round of 32,DT1,,
9,1,Round of 32,DT2,,
9,1,Round of 32,DT3,,
9,1,Round of 32,TB1,,

9,1,Round of 16,NM1,,
9,1,Round of 16,NM2,,
9,1,Round of 16,NM3,,
9,1,Round of 16,NM4,,
9,1,Round of 16,NM5,,
9,1,Round of 16,HD1,,
9,1,Round of 16,HD2,,
9,1,Round of 16,HR1,,
9,1,Round of 16,HR2,,
9,1,Round of 16,DT1,,
9,1,Round of 16,DT2,,
9,1,Round of 16,DT3,,
9,1,Round of 16,TB1,,

11,2,Quarterfinals,NM1,,
11,2,Quarterfinals,NM2,,
11,2,Quarterfinals,NM3,,
11,2,Quarterfinals,NM4,,
11,2,Quarterfinals,NM5,,
11,2,Quarterfinals,NM6,,
11,2,Quarterfinals,HD1,,
11,2,Quarterfinals,HD2,,
11,2,Quarterfinals,HD3,,
11,2,Quarterfinals,HR1,,
11,2,Quarterfinals,HR2,,
11,2,Quarterfinals,HR3,,
11,2,Quarterfinals,DT1,,
11,2,Quarterfinals,DT2,,
11,2,Quarterfinals,DT3,,
11,2,Quarterfinals,DT4,,
11,2,Quarterfinals,TB1,,

11,2,Semifinals,NM1,,
11,2,Semifinals,NM2,,
11,2,Semifinals,NM3,,
11,2,Semifinals,NM4,,
11,2,Semifinals,NM5,,
11,2,Semifinals,NM6,,
11,2,Semifinals,HD1,,
11,2,Semifinals,HD2,,
11,2,Semifinals,HD3,,
11,2,Semifinals,HR1,,
11,2,Semifinals,HR2,,
11,2,Semifinals,HR3,,
11,2,Semifinals,DT1,,
11,2,Semifinals,DT2,,
11,2,Semifinals,DT3,,
11,2,Semifinals,DT4,,
11,2,Semifinals,TB1,,

11,2,Finals,NM1,,
11,2,Finals,NM2,,
11,2,Finals,NM3,,
11,2,Finals,NM4,,
11,2,Finals,NM5,,
11,2,Finals,NM6,,
11,2,Finals,HD1,,
11,2,Finals,HD2,,
11,2,Finals,HD3,,
11,2,Finals,HR1,,
11,2,Finals,HR2,,
11,2,Finals,HR3,,
11,2,Finals,DT1,,
11,2,Finals,DT2,,
11,2,Finals,DT3,,
11,2,Finals,DT4,,
11,2,Finals,TB1,,